id,code,name,parent_id/id,active,reconcile,user_type/id,type,child_consol_ids/id,note
account.account_account_0,0,IPBOX,,True,False,account.data_account_type_view,View,,
account.account_account_Classe_1_5,Classes 1 à 5,Comptes de bilan,account.account_account_0,True,False,account.data_account_type_view,View,,
account.account_account_Classe_1,Classe 1,Comptes de capitaux,account.account_account_Classe_1_5,True,False,account.data_account_type_view,View,,"Capitaux propres, autres fonds propres, emprunts et dettes assimilées"
account.account_account_10,10,Capital et réserves,account.account_account_Classe_1,True,False,account.data_account_type_view,View,,
account.account_account_101,101,Capital,account.account_account_10,True,False,account.data_account_type_view,View,,"Capital pour sociétés de type (SARL, SA). Pour une EI utiliser le compte 108"
account.account_account_101000,101000,Capital souscrit,account.account_account_101,True,False,account.data_account_type_liability,Regular,,
account.account_account_101100,101100,Capital souscrit - non appelé,account.account_account_101,True,False,account.data_account_type_liability,Regular,,
account.account_account_101200,101200,Capital souscrit - appelé non versé,account.account_account_101,True,False,account.data_account_type_liability,Regular,,
account.account_account_1013,1013,Capital souscrit - appelé versé,account.account_account_101,True,False,account.data_account_type_view,View,,
account.account_account_101310,101310,Capital non amorti,account.account_account_1013,True,False,account.data_account_type_liability,Regular,,
account.account_account_101320,101320,Capital amorti,account.account_account_1013,True,False,account.data_account_type_liability,Regular,,
account.account_account_101800,101800,Capital souscrit soumis à des réglementations particulières,account.account_account_101,True,False,account.data_account_type_liability,Regular,,
account.account_account_104,104,Primes liées au capital social,account.account_account_10,True,False,account.data_account_type_view,View,,
account.account_account_104100,104100,Primes d'émission,account.account_account_104,True,False,account.data_account_type_liability,Regular,,
account.account_account_104200,104200,Primes de fusion,account.account_account_104,True,False,account.data_account_type_liability,Regular,,
account.account_account_104300,104300,Primes d'apport,account.account_account_104,True,False,account.data_account_type_liability,Regular,,
account.account_account_104400,104400,Primes de conversion d'obligations en actions,account.account_account_104,True,False,account.data_account_type_liability,Regular,,
account.account_account_104500,104500,Bons de souscription d'actions,account.account_account_104,True,False,account.data_account_type_liability,Regular,,
account.account_account_105,105,Écarts de réévaluation,account.account_account_10,True,False,account.data_account_type_view,View,,
account.account_account_105100,105100,Réserve spéciale de réévaluation,account.account_account_105,True,False,account.data_account_type_liability,Regular,,
account.account_account_105200,105200,Écart de réévaluation libre,account.account_account_105,True,False,account.data_account_type_liability,Regular,,
account.account_account_105300,105300,Réserve de réévaluation,account.account_account_105,True,False,account.data_account_type_liability,Regular,,
account.account_account_105500,105500,Écarts de réévaluation (autres opérations légales),account.account_account_105,True,False,account.data_account_type_liability,Regular,,
account.account_account_105700,105700,Autres écarts de réévaluation en France,account.account_account_105,True,False,account.data_account_type_liability,Regular,,
account.account_account_105800,105800,Autres écarts de réévaluation à l'étranger,account.account_account_105,True,False,account.data_account_type_liability,Regular,,
account.account_account_106,106,Réserves,account.account_account_10,True,False,account.data_account_type_view,View,,
account.account_account_1061,1061,Réserve légale,account.account_account_106,True,False,account.data_account_type_view,View,,
account.account_account_106110,106110,Réserve légale proprement dite,account.account_account_1061,True,False,account.data_account_type_liability,Regular,,
account.account_account_106120,106120,Plus-values nettes à long terme,account.account_account_1061,True,False,account.data_account_type_liability,Regular,,
account.account_account_106200,106200,Réserves indisponibles,account.account_account_106,True,False,account.data_account_type_liability,Regular,,
account.account_account_106300,106300,Réserves statutaires ou contractuelles,account.account_account_106,True,False,account.data_account_type_liability,Regular,,
account.account_account_1064,1064,Réserves réglementées,account.account_account_106,True,False,account.data_account_type_view,View,,
account.account_account_106410,106410,Plus-values nettes à long terme,account.account_account_1064,True,False,account.data_account_type_liability,Regular,,
account.account_account_106430,106430,Réserves consécutives à l'octroi de subventions d'investissement,account.account_account_1064,True,False,account.data_account_type_liability,Regular,,
account.account_account_106480,106480,Autres réserves réglementées,account.account_account_1064,True,False,account.data_account_type_liability,Regular,,
account.account_account_1068,1068,Autres réserves,account.account_account_106,True,False,account.data_account_type_view,View,,
