id,position_id/id,tax_src_id/id,tax_dest_id/id
account.account_fiscal_position_1_tax_1,account.account_fiscal_position_1,account.account_tax_83,account.account_tax_116
account.account_fiscal_position_1_tax_2,account.account_fiscal_position_1,account.account_tax_84,account.account_tax_116
account.account_fiscal_position_1_tax_3,account.account_fiscal_position_1,account.account_tax_85,account.account_tax_116
account.account_fiscal_position_1_tax_4,account.account_fiscal_position_1,account.account_tax_86,account.account_tax_116
account.account_fiscal_position_1_tax_6,account.account_fiscal_position_1,account.account_tax_153,account.account_tax_116
account.account_fiscal_position_1_tax_7,account.account_fiscal_position_1,account.account_tax_89,account.account_tax_114
account.account_fiscal_position_1_tax_8,account.account_fiscal_position_1,account.account_tax_90,account.account_tax_114
account.account_fiscal_position_1_tax_9,account.account_fiscal_position_1,account.account_tax_91,account.account_tax_114
account.account_fiscal_position_1_tax_10,account.account_fiscal_position_1,account.account_tax_93,account.account_tax_114
account.account_fiscal_position_1_tax_11,account.account_fiscal_position_1,account.account_tax_94,account.account_tax_114
account.account_fiscal_position_1_tax_12,account.account_fiscal_position_1,account.account_tax_95,account.account_tax_114
account.account_fiscal_position_1_tax_13,account.account_fiscal_position_1,account.account_tax_82,account.account_tax_114
account.account_fiscal_position_2_tax_2,account.account_fiscal_position_2,account.account_tax_83,account.account_tax_112
account.account_fiscal_position_2_tax_3,account.account_fiscal_position_2,account.account_tax_84,account.account_tax_112
account.account_fiscal_position_2_tax_4,account.account_fiscal_position_2,account.account_tax_85,account.account_tax_112
account.account_fiscal_position_2_tax_5,account.account_fiscal_position_2,account.account_tax_86,account.account_tax_112
account.account_fiscal_position_2_tax_6,account.account_fiscal_position_2,account.account_tax_153,account.account_tax_112
account.account_fiscal_position_2_tax_7,account.account_fiscal_position_2,account.account_tax_89,account.account_tax_114
account.account_fiscal_position_2_tax_8,account.account_fiscal_position_2,account.account_tax_90,account.account_tax_114
account.account_fiscal_position_2_tax_9,account.account_fiscal_position_2,account.account_tax_91,account.account_tax_114
account.account_fiscal_position_2_tax_10,account.account_fiscal_position_2,account.account_tax_93,account.account_tax_114
account.account_fiscal_position_2_tax_11,account.account_fiscal_position_2,account.account_tax_94,account.account_tax_114
account.account_fiscal_position_2_tax_12,account.account_fiscal_position_2,account.account_tax_95,account.account_tax_114
account.account_fiscal_position_2_tax_13,account.account_fiscal_position_2,account.account_tax_82,account.account_tax_114
