"id","position_id/id","tax_src_id/id","tax_dest_id/id"
"__export__.account_fiscal_position_tax_1","__export__.account_fiscal_position_1","__export__.account_tax_2","__export__.account_tax_32"
"__export__.account_fiscal_position_tax_2","__export__.account_fiscal_position_1","__export__.account_tax_34","__export__.account_tax_32"
"__export__.account_fiscal_position_tax_3","__export__.account_fiscal_position_1","__export__.account_tax_3","__export__.account_tax_32"
"__export__.account_fiscal_position_tax_4","__export__.account_fiscal_position_1","__export__.account_tax_4","__export__.account_tax_32"
"__export__.account_fiscal_position_tax_5","__export__.account_fiscal_position_1","__export__.account_tax_5","__export__.account_tax_32"
"__export__.account_fiscal_position_tax_6","__export__.account_fiscal_position_1","__export__.account_tax_1","__export__.account_tax_20"
"__export__.account_fiscal_position_tax_7","__export__.account_fiscal_position_1","__export__.account_tax_1","__export__.account_tax_25"
"__export__.account_fiscal_position_tax_8","__export__.account_fiscal_position_1","__export__.account_tax_6","__export__.account_tax_21"
"__export__.account_fiscal_position_tax_9","__export__.account_fiscal_position_1","__export__.account_tax_6","__export__.account_tax_26"
"__export__.account_fiscal_position_tax_10","__export__.account_fiscal_position_1","__export__.account_tax_7","__export__.account_tax_22"
"__export__.account_fiscal_position_tax_11","__export__.account_fiscal_position_1","__export__.account_tax_7","__export__.account_tax_27"
"__export__.account_fiscal_position_tax_12","__export__.account_fiscal_position_1","__export__.account_tax_8","__export__.account_tax_23"
"__export__.account_fiscal_position_tax_13","__export__.account_fiscal_position_1","__export__.account_tax_8","__export__.account_tax_28"
"__export__.account_fiscal_position_tax_14","__export__.account_fiscal_position_1","__export__.account_tax_9","__export__.account_tax_24"
"__export__.account_fiscal_position_tax_15","__export__.account_fiscal_position_1","__export__.account_tax_9","__export__.account_tax_29"
"__export__.account_fiscal_position_tax_16","__export__.account_fiscal_position_2","__export__.account_tax_2","__export__.account_tax_31"
"__export__.account_fiscal_position_tax_17","__export__.account_fiscal_position_2","__export__.account_tax_34","__export__.account_tax_31"
"__export__.account_fiscal_position_tax_18","__export__.account_fiscal_position_2","__export__.account_tax_3","__export__.account_tax_31"
"__export__.account_fiscal_position_tax_19","__export__.account_fiscal_position_2","__export__.account_tax_4","__export__.account_tax_31"
"__export__.account_fiscal_position_tax_20","__export__.account_fiscal_position_2","__export__.account_tax_5","__export__.account_tax_31"
"__export__.account_fiscal_position_tax_21","__export__.account_fiscal_position_2","__export__.account_tax_1","__export__.account_tax_33"
"__export__.account_fiscal_position_tax_22","__export__.account_fiscal_position_2","__export__.account_tax_6","__export__.account_tax_33"
"__export__.account_fiscal_position_tax_23","__export__.account_fiscal_position_2","__export__.account_tax_7","__export__.account_tax_33"
"__export__.account_fiscal_position_tax_24","__export__.account_fiscal_position_2","__export__.account_tax_8","__export__.account_tax_33"
"__export__.account_fiscal_position_tax_25","__export__.account_fiscal_position_2","__export__.account_tax_9","__export__.account_tax_33"
