id,default_code,name,description,purchase_price,list_price,standard_price,track_outgoing,track_production,track_incoming,categ_id/id,tag_ids/id,uom_id/id,uom_po_id/id,uos_id/id,type,sale_ok,purchase_ok,cost_method,procure_method,supply_method,valuation,active
product.product_product_noemis_1,CLFE1COAX,"COMNET,Convertisseur IP sur Coax jusqu'a 1Km & POE/ 1 voie, Boitier",,118.80,297,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_30",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_2,CLFE4COAX,"COMNET,Convertisseur IP sur Coax jusqu'a 1Km & POE / 4 voix, Boitier",,421.2,1053,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_30",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_3,CLFE8COAX,"COMNET,Convertisseur IP sur Coax jusqu'a 1Km & POE / 8 voix, 19'' Rack",,577.2,1053,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_30",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_4,CLFE16COAX,"COMNET,Convertisseur IP sur Coax jusqu'a 1Km & POE / 16 voix, 19'' Rack",,1216.8,1443,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_30",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_5,CLFE1UTP,"COMNET,Amplificateur POE jusqu'à 900 mt / boitier 1 voie",,128,3042,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_24",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_6,CLFE4UTP,"COMNET,Amplificateur POE jusqu'à 900 mt / boitier 4 voix",,436.8,1092,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_24",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_7,CLFE8UTP,"COMNET,Amplificateur POE jusqu'à 900 mt / rack 19'', 8 voix",,608.4,1521,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_24",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_8,CLFE16UTP,"COMNET,Amplificateur POE jusqu'à 900 mt / rack 19'', 16 voix",,1232.4,3081,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_24",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_9,CLFE4US1TPC,"COMNET,Switch 4 ports pour CLFEXCOAX ou CLFEXUTP",,249.6,624,0,True,True,True,product.product_category_ipb_4,"__data_import_.product_tag_17,__data_import_.product_tag_25",product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
product.product_product_noemis_10,682-284-F,"PAXTON,Net2 plus contrôleur 1 porte - Alim PoE coffret ABS",,211.05,469,0,True,True,True,product.product_category_ipb_18,__data_import_.product_tag_16,product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,product,true,true,average,make_to_stock,buy,manual_periodic,true
