id,customer,supplier,active,is_company,name,street,street2,zip,city,country_id/id,siret,nic,vat,phone,fax,email,credit_limit
base.partner_noemis_cust_00001,True,False,True,True,4UI ,Immeuble Ordinal - Porte 4 - 4∞ Et.,rue des Chauffours,95002,CERGY,base.fr,528886559,,FR37528886559,,,,6000
base.partner_noemis_cust_00002,True,False,True,True,6MTECHNOLOGIES,4 bd albert 1er,,94130,NOGENT SUR MARNE,base.fr,415006618,,,,,jiljazy@6mtechnologies.fr,0
base.partner_noemis_cust_00003,True,False,True,True,A.I.R.E. TELECOM,12 RUE DE CANNES,,59000,LILLE,base.fr,494082381,,FR49494082381,03 20 62 23 33,03 20 62 23 39,,40000
base.partner_noemis_cust_00004,True,False,True,True,ABERIA,229 RUE ALPHONSE BEAU DE ROCHAS,PAE MERCORENT,34500,BEZIERS,base.fr,393421086,41,FR56393421086,04 67 09 25 25,04 67 30 05 13,aberia@aberia.fr,6000
base.partner_noemis_cust_00005,True,False,True,True,AC2I-SECURITE,29 RUE DE LA FORET,,57915,WOUSTVILLER,base.fr,489880815,35,FR16489880815,03 87 28 10 50,03 87 28 12 12,,0
base.partner_noemis_cust_00006,True,False,True,True,ACIP IDF ( ARGOSSE SECURITE),44 avenue du 8 mai 1945,,92390,VILLENEUVE LA GARENNE,base.fr,479076762,,FR19479076762,01 47 98 98 88, 01 47 98 98 89,,0
base.partner_noemis_cust_00007,True,False,True,True,ACTEMIUM PARIS SDEL,IMMEUBLE COLISEE DEFENSE - ENTREE64,50 AVENUE FRANCOIS ARAGO - CS 80002,92022,NANTERRE CEDEX,base.fr,443975826,,,01 55 47 59 85,01 55 47 59 75,,6000
base.partner_noemis_cust_00008,True,False,True,True,ACTIVASYS SAS,"101, RUE CONDORCET",,38090,VAULX-MILIEU,base.fr,424218139,48,FR73 424 218 139,04 74 95 34 88,04 74 95 34 89,contact@activasys.com,4000
base.partner_noemis_cust_00009,True,False,True,True,ADD-ON CONSULTING ,9 rue du Batiment,,95420,CLERY EN VEXIN,base.fr,424218964,,,,,,4000
base.partner_noemis_cust_00010,True,False,True,True,ADM21,"273, rue Gabriel PÈri",,92700,COLOMBES,base.fr,417736972,,,01 46 52 01 03,01 46 52 01 04,,4000
base.partner_noemis_cust_00011,True,False,True,True,AG2S,ZA LES BOSQUETS 4,,95540,MERY SUR OISE,base.fr,404298580,,,,,,6000
base.partner_noemis_cust_00012,True,False,True,True,AIM ELECTRONIQUE,51 avenue de l'Europe,,77184,EMERAINVILLE,base.fr,434618260,,FR95434618260,,,,35000
base.partner_noemis_cust_00013,True,False,True,True,ALPIX,12 RUE JEAN MONNET,,10600,LA CHAPELLE ST LUC,base.fr,,,,,,,0
base.partner_noemis_cust_00014,True,False,True,True,ALVI PRO,"34, rue StÈphanie",,67100,STRASBOURG,base.fr,533908141,13,FR04 533908141,03 88 66 15 11,,,25000
base.partner_noemis_cust_00015,True,False,True,True,AMESYS INTERNATIONAL SAS,655 Avenue GalilÈe - BP 80102,,13793,AIX EN PROVENCE  CEDEX3,base.fr,315067942,,,,,,50000
base.partner_noemis_cust_00016,True,False,True,True,AMR SERVICES,ZA DU TAILLIS 3,3 RUE DES COQUELICOTS,44840,LES SORINIERES,base.fr,490598091,26,FR93490598091,02.28.44.19.80,02 28 44 53 88,contact@amr-services.com,50000
base.partner_noemis_cust_00017,True,False,True,True,ANFRAY GIORIA,157 ROUTE DE BEAUGE,,72021,LE MANS CEDEX 2,base.fr,324746007,,FR06324746007,02 43 52 05 90,02 43 52 00 05,,
base.partner_noemis_cust_00018,True,False,True,True,ARAMIS SECURITY,"100, RUE DES FOUGERES",,69009,LYON,base.fr,443092226,,,,,,6000
base.partner_noemis_cust_00019,True,False,True,True,ARTEMIS SECURITE,6 avenue de la Rize,,69100,Villeurbanne,base.fr,,,,,,,0
base.partner_noemis_cust_00020,True,False,True,True,ARTSNET,155 rue du docteur Bauer,Energy III,93400,SAINT OUEN,base.fr,434467593,,,08 92 230 333,01 46 24 51 68,,
base.partner_noemis_cust_00021,True,False,True,True,AUTOMATIC ALARM COTE D'AZUR,31 BD FREDERIC SAUVAGE,PARC CLUB DES AYGALADES  BAT A7,13014,MARSEILLE,base.fr,410084677,,,04 97 21 68 00,04 91 65 86 72,,4000
base.partner_noemis_cust_00022,True,False,True,True,AUTOMATIC ALARM GRAND EST,13 RUE CLAIRE ET YVAN GOLL,PARC DES POTERIES,67200,STRASBOURG,base.fr,479450991,,,03 88 78 97 60,03 88 77 31 94,,20000
base.partner_noemis_cust_00023,True,False,True,True,AUTOMATIC ALARM RHONE ALPES,65 RUE DE LA TALAUDIERE,,42000,SAINT ETIENNE,base.fr,492680160,16,,04 77 53 79 60,04 77 53 79 69,,70000
base.partner_noemis_cust_00024,True,False,True,True,AUTOMATIC ALARM SUD OUEST,112 CHEMIN DE BELLECROIX,B.P. 80024,46001,CAHORS CEDEX,base.fr,403214463,,,05 65 35 90 21,05 65 35 90 30,,15000
base.partner_noemis_cust_00025,True,False,True,True,AVENIR SYSTEMES,Z.A. MIVOIE,Rue Emile Sauvestre,35136,SAINT JACQUES DE LA LANDE,base.fr,402604508,,,02 99 83 02 04,02 99 83 02 05,,100000
base.partner_noemis_cust_00026,True,False,True,True,AVS,1642  route des PUGETS,,6700,SAINT LAURENT DU VAR,base.fr,325266476,51,FR04325266476,04 93 31 96 16,04 93 31 96 46,,40000
